FirmCode,Party Reference,Roles,Linked Reference
JJ ,JJLEJ001  ,GIA,JJLEJ001  
JJ ,JJLEM001  ,CRS Participant,JJLEM002  
JJ ,JJLEM001  ,Joint,JJLEM002  
JJ ,JJLEM001  ,PCI Connected Party,JJLEM002  
JJ ,JJLIH001  ,GIA,JJLIH001  
JJ ,JJLIL001  ,GIA,JJLIL001  
JJ ,JJLUN002  ,GIA,JJLUN002  
JJ ,JJLYJ001  ,PCI Connected Party,JJSLD001  
JJ ,JJLYP001  ,PCI Connected Party,JJSLD001  
JJ ,JJMCD001  ,PCI Connected Party,JJRIL001  
JJ ,JJMCO001  ,CRS Participant,JJKCO002  
JJ ,JJMCO001  ,Joint,JJKCO002  
JJ ,JJMCO001  ,PCI Connected Party,JJKCO002  
JJ ,JJMRG001  ,GIA,JJMRG001  
JJ ,JJNEL001  ,,
JJ ,JJNEW001  ,PCI Connected Party,JJNSD001  
JJ ,JJNSD001  ,GIA,JJNSD001  
JJ ,JJOKA001  ,GIA,JJOKA001  
JJ ,JJOKA001  ,PCI Connected Party,JJFYO001  
JJ ,JJOKA001  ,Secondary,JJOKA003  
JJ ,JJOSN001  ,GIA,JJOSN001  
JJ ,JJPAA001  ,CRS Participant,JJPAA004  
JJ ,JJPAA001  ,CRS Participant,JJPAA003  
JJ ,JJPAA001  ,Joint,JJPAA004  
JJ ,JJPAA001  ,Joint,JJPAA003  
JJ ,JJPAA001  ,PCI Connected Party,JJPAA004  
JJ ,JJPAA002  ,CRS Participant,JJPAA003  
JJ ,JJPAA002  ,CRS Participant,JJPAA004  
JJ ,JJPAA002  ,Joint,JJPAA003  
JJ ,JJPAA002  ,Joint,JJPAA004  
JJ ,JJPAA002  ,PCI Connected Party,JJPAA004  
JJ ,JJPAA002  ,PCI Connected Party,JJPAA003  
JJ ,JJPDI001  ,GIA,JJPDI001  
JJ ,JJPEE001  ,CRS Participant,JJPER002  
JJ ,JJPEE001  ,Joint,JJPER002  
JJ ,JJPEE001  ,PCI Connected Party,JJPER002  
JJ ,JJPER001  ,CRS Participant,JJPER002  
JJ ,JJPER001  ,Joint,JJPER002  
JJ ,JJPER001  ,PCI Connected Party,JJPER002  
JJ ,JJPHJ001  ,GIA,JJPHJ001  
JJ ,JJPIV001  ,CRS Substantial Owner,JJCAS001  
JJ ,JJPIV001  ,CRS Substantial Owner,JJCAS002  
JJ ,JJPIV001  ,PCI Connected Party,JJCAS001  
JJ ,JJPIV001  ,PCI Connected Party,JJCAS002  
JJ ,JJPLJ001  ,GIA,JJPLJ001  
JJ ,JJPLJ001  ,PCI Connected Party,JJJIP001  
JJ ,JJPOA001  ,CRS Substantial Owner,JJLUN002  
JJ ,JJPOA001  ,CRS Substantial Owner,JJGLH001  
JJ ,JJPOA001  ,PCI Connected Party,JJLUN002  
JJ ,JJPOA001  ,PCI Connected Party,JJGLH001  
JJ ,JJPOG001  ,Beneficial Owner,JJYAR001  
JJ ,JJPOG001  ,CRS Substantial Owner,JJLUN002  
JJ ,JJPOG001  ,CRS Substantial Owner,JJYAR001  
JJ ,JJPOG001  ,Joint,JJPOG002  
JJ ,JJPOG001  ,PCI Connected Party,JJYAR001  
JJ ,JJPOJ001  ,CRS Substantial Owner,JJLUN002  
JJ ,JJPOJ001  ,CRS Substantial Owner,JJGLH001  
JJ ,JJPOJ001  ,PCI Connected Party,JJLUN002  
JJ ,JJPOJ001  ,PCI Connected Party,JJGLH001  
JJ ,JJPOR001  ,Beneficial Owner,JJYAR001  
JJ ,JJPOR001  ,CRS Substantial Owner,JJYAR001  
JJ ,JJPOR001  ,Joint,JJPOG002  
JJ ,JJPOR001  ,PCI Connected Party,JJPOG002  
JJ ,JJPOR001  ,PCI Connected Party,JJYAR001  
JJ ,JJRIH001  ,PCI Connected Party,JJRIL001  
JJ ,JJRIL001  ,GIA,JJRIL001  
JJ ,JJRIS001  ,GIA,JJRIS001  
JJ ,JJROG001  ,PCI Connected Party,JJEIL001  
JJ ,JJSAS001  ,CRS Participant,JJSAT002  
JJ ,JJSAS001  ,CRS Substantial Owner,JJLIL001  
JJ ,JJSAS001  ,Joint,JJSAT002  
JJ ,JJSAS001  ,PCI Connected Party,JJSAT002  
JJ ,JJSAS001  ,PCI Connected Party,JJLIL001  
JJ ,JJSAT001  ,CRS Participant,JJSAT002  
JJ ,JJSAT001  ,CRS Substantial Owner,JJLIL001  
JJ ,JJSAT001  ,Joint,JJSAT002  
JJ ,JJSAT001  ,PCI Connected Party,JJSAT002  
JJ ,JJSAT001  ,PCI Connected Party,JJLIL001  
JJ ,JJSAW001  ,PCI Connected Party,JJFYS001  
JJ ,JJSCM001  ,GIA,JJSCM001  
JJ ,JJSEA001  ,GIA,JJSEA001  
JJ ,JJSEJ001  ,CRS Participant,JJSEP002  
JJ ,JJSEJ001  ,Joint,JJSEP002  
JJ ,JJSEJ001  ,PCI Connected Party,JJSEP002  
JJ ,JJSEJ001  ,PCI Connected Party,JJVTS002  
JJ ,JJSEP001  ,CRS Participant,JJSEP002  
JJ ,JJSEP001  ,Joint,JJSEP002  
JJ ,JJSEP001  ,PCI Connected Party,JJSEP002  
JJ ,JJSEP001  ,PCI Connected Party,JJVTS001  
JJ ,JJSES001  ,GIA,JJSES001  
JJ ,JJSETS    ,GIA,JJSETS    
JJ ,JJSEV001  ,GIA,JJSEV001  
JJ ,JJSHB001  ,CRS Participant,JJSHN002  
JJ ,JJSHB001  ,CRS Substantial Owner,JJAYU001  
JJ ,JJSHB001  ,Joint,JJSHN002  
JJ ,JJSHB001  ,PCI Connected Party,JJAYU001  
JJ ,JJSHB001  ,PCI Connected Party,JJSHN002  
JJ ,JJSHC001  ,,
JJ ,JJSHN001  ,CRS Participant,JJSHN002  
JJ ,JJSHN001  ,CRS Substantial Owner,JJAYU001  
JJ ,JJSHN001  ,Joint,JJSHN002  
JJ ,JJSHN001  ,PCI Connected Party,JJSHN002  
